"id","name","sku","coordinates"
8,"PASTILLE, REGLAGE (2.30)","3LD-12169-L0","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (2.35)","3LD-12169-N0","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (2.35)","3LD-12169-N0","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (2.35)","3LD-12169-N0","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (2.35)","3LD-12169-N0","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (2.40)","3LD-12169-T0","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (2.40)","3LD-12169-T0","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (2.40)","3LD-12169-T0","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (2.40)","3LD-12169-T0","{""top"":345.059,""left"":-611.405}"
9,"LEVE-SOUPAPE (O/S)","5EB-12153-09","{""top"":201.138,""left"":-80.5594}"
9,"LEVE-SOUPAPE (O/S)","5EB-12153-09","{""top"":99.6046,""left"":-235.184}"
9,"LEVE-SOUPAPE (O/S)","5EB-12153-09","{""top"":316.472,""left"":-439.053}"
9,"LEVE-SOUPAPE (O/S)","5EB-12153-09","{""top"":220.853,""left"":-586.783}"
9,"LEVE-SOUPAPE","5EB-1215319-00","{""top"":201.138,""left"":-80.5594}"
9,"LEVE-SOUPAPE","5EB-1215319-00","{""top"":99.6046,""left"":-235.184}"
9,"LEVE-SOUPAPE","5EB-1215319-00","{""top"":316.472,""left"":-439.053}"
9,"LEVE-SOUPAPE","5EB-1215319-00","{""top"":220.853,""left"":-586.783}"
